run_id,regime,topology,n,seed_fraction,beta,seed,cascade,time_to_cascade,forecast_eligible,future_cascade,unsafe_fraction,propagation_rate,activity_entropy,avg_clustering,algebraic_connectivity,edge_turnover
0,S0_static,ER,64,0.01,0.03,1300,0,,1,0,0.015625,0.0,1.3862943611198906,0.10598169191919192,0.8836123107132391,0.0
1,S0_static,ER,64,0.01,0.03,1301,0,,1,0,0.015625,0.0,1.6094379124341005,0.07389632936507937,0.6088551634148262,0.0
2,S0_static,ER,64,0.01,0.03,1302,0,,1,0,0.015625,0.0,1.3862943611198906,0.05944940476190476,0.0,0.0
3,S0_static,ER,64,0.01,0.03,1303,1,23,1,1,0.046875,0.0,2.6525875347201477,0.049206349206349205,0.0,0.0
4,S0_static,ER,64,0.01,0.03,1304,0,,1,0,0.03125,0.0,2.1458417525947544,0.07259199134199135,0.0,0.0
5,S0_static,ER,64,0.01,0.03,1305,0,,1,0,0.015625,0.0,1.6094379124341005,0.0993393759018759,1.0890829690744435,0.0
6,S0_static,ER,64,0.01,0.03,1306,0,,1,0,0.015625,0.0,2.3978952727983707,0.10572916666666667,0.8653768553649277,0.0
7,S0_static,ER,64,0.01,0.03,1307,0,,1,0,0.015625,0.0,1.791759469228055,0.06005704365079365,0.0,0.0
8,S0_static,ER,64,0.01,0.05,1500,1,23,1,1,0.03125,0.0,2.430791328878232,0.06702628968253968,0.6188831871821082,0.0
9,S0_static,ER,64,0.01,0.05,1501,0,,1,0,0.015625,-0.015625,1.3862943611198906,0.017509920634920635,0.5623103209542778,0.0
10,S0_static,ER,64,0.01,0.05,1502,0,,1,0,0.03125,0.0,2.1458417525947544,0.07473958333333333,0.0,0.0
11,S0_static,ER,64,0.01,0.05,1503,0,,1,0,0.03125,0.0,2.5232109529528914,0.0370377886002886,0.49626687079170806,0.0
12,S0_static,ER,64,0.01,0.05,1504,0,,1,0,0.015625,0.0,0.6931471805599453,0.07908887987012987,0.8124013946467845,0.0
13,S0_static,ER,64,0.01,0.05,1505,1,21,1,1,0.078125,0.0,2.596117904190198,0.09924355158730158,0.6917500677186462,0.0
14,S0_static,ER,64,0.01,0.05,1506,1,23,1,1,0.078125,0.03125,2.846720212074426,0.09358532092907093,1.3467743708355995,0.0
15,S0_static,ER,64,0.01,0.05,1507,1,22,1,1,0.015625,0.0,2.0794415416798357,0.07714082792207792,1.0038915312919066,0.0
16,S0_static,ER,64,0.01,0.07,1700,1,19,1,1,0.015625,0.0,1.6094379124341005,0.041220238095238095,0.6289913557529803,0.0
17,S0_static,ER,64,0.01,0.07,1701,1,20,1,1,0.015625,0.0,1.3862943611198906,0.05822510822510822,1.035134644764167,0.0
18,S0_static,ER,64,0.01,0.07,1702,1,16,1,1,0.09375,0.03125,3.1627022802135847,0.03916170634920635,0.5814272423016487,0.0
